Date,Price
2013-04-16,9937.22
2013-04-17,9939.42
2013-04-18,9941.17
2013-04-19,9938.1
2013-04-20,9941.83
2013-04-21,9968.43
2013-04-22,9970.7
2013-04-23,9967.36
2013-04-24,9975.2
2013-04-25,9990.64
2013-04-26,9953.98
2013-04-27,9815.36
2013-04-28,9813.07
2013-04-29,9794.86
2013-04-30,9816.75
2013-05-01,9808.45
2013-05-02,9800.31
2013-05-03,9811.91
2013-05-04,9801.02
2013-05-05,9800.08
2013-05-06,9797.77
2013-05-07,9814.26
2013-05-08,9824
2013-05-09,9826.48
2013-05-10,9810.88
2013-05-11,9810.77
2013-05-12,9814.23
2013-05-13,9816.39
2013-05-14,9807.31
2013-05-15,9811.49
2013-05-16,9811.87
2013-05-17,9824.15
2013-05-18,9829.14
2013-05-19,9826.3
2013-05-20,9825.72
2013-05-21,9822.26
2013-05-22,9823.67
2013-05-23,9691.75
2013-05-24,9675.95
2013-05-25,9674.02
2013-05-26,9673.58
2013-05-27,9671.47
2013-05-28,9646.88
2013-05-29,9800.89
2013-05-30,9779.78
2013-05-31,9760.56
2013-06-01,9786.96
2013-06-02,9812
2013-06-03,9728.6
2013-06-04,9795.16
2013-06-05,9830.37
2013-06-06,9828.28
2013-06-07,9794.92
2013-06-08,9819.25
2013-06-09,9812.22
2013-06-10,9834.29
2013-06-11,9841.94
2013-06-12,9837.6
2013-06-13,9850.87
2013-06-14,9818.28
2013-06-15,9815.37
2013-06-16,9814.27
2013-06-17,9820.28
2013-06-18,9818.56
2013-06-19,9866.78
2013-06-20,9889.48
2013-06-21,9888.57
2013-06-22,9895.69
2013-06-23,9897.67
2013-06-24,9891.78
2013-06-25,9884.96
2013-06-26,9864.3
2013-06-27,9752.23
2013-06-28,9757.91
2013-06-29,9760.5
2013-06-30,9757.54
2013-07-01,9750.15
2013-07-02,9746.3
2013-07-03,9726.18
2013-07-04,9698.13
2013-07-05,9747.13
2013-07-06,9747.43
2013-07-07,9742.13
2013-07-08,9732.18
2013-07-09,9684.52
2013-07-10,9674.83
2013-07-11,9681.62
2013-07-12,9692.9
2013-07-13,9708.48
2013-07-14,9715.17
2013-07-15,9710.86
2013-07-16,9651.94
2013-07-17,9634.94
2013-07-18,9633.66
2013-07-19,9631.57
2013-07-20,9638.78
2013-07-21,9548.32
2013-07-22,9546.34
2013-07-23,9547.83
2013-07-24,9549.31
2013-07-25,9546.9
2013-07-26,9555.86
2013-07-27,9586.63
2013-07-28,9626.72
2013-07-29,9614.03
2013-07-30,9617.08
2013-07-31,9637.14
2013-08-01,9645.14
2013-08-02,9615.16
2013-08-03,9622.05
2013-08-04,9660.52
2013-08-05,9657.53
2013-08-06,9662.86
2013-08-07,9669.31
2013-08-08,9640.38
2013-08-09,9639.39
2013-08-10,9648.71
2013-08-11,9667.71
2013-08-12,9673.8
2013-08-13,9675.4
2013-08-14,9678.87
2013-08-15,9675.59
2013-08-16,9564.95
2013-08-17,9565.01
2013-08-18,9554.65
2013-08-19,9499.89
2013-08-20,9496.3
2013-08-21,9464.86
2013-08-22,9482.12
2013-08-23,9547.95
2013-08-24,9500.66
2013-08-25,9501.2
2013-08-26,9572.81
2013-08-27,9573.59
2013-08-28,9669.95
2013-08-29,9665.31
2013-08-30,9665.08
2013-08-31,9669.4
2013-09-01,9669.24
2013-09-02,9650.12
2013-09-03,9644.48
2013-09-04,9631.32
2013-09-05,9627.05
2013-09-06,9576.71
2013-09-07,9466.37
2013-09-08,9479.66
2013-09-09,9477.26
2013-09-10,9479.65
2013-09-11,9470.71
2013-09-12,9543.77
2013-09-13,9554.51
2013-09-14,9549.71
2013-09-15,9545.48
2013-09-16,9576.11
2013-09-17,9587.5
2013-09-18,9580.01
2013-09-19,9496.1
2013-09-20,9498.74
2013-09-21,9489
2013-09-22,9499.19
2013-09-23,9504.53
2013-09-24,9509.18
2013-09-25,9469.5
2013-09-26,9489.47
2013-09-27,9390.82
2013-09-28,9388.05
2013-09-29,9391.4
2013-09-30,9382.18
2013-10-01,9362.34
2013-10-02,9361.47
2013-10-03,9358.64
2013-10-04,9345.07
2013-10-05,9353.22
2013-10-06,9315.72
2013-10-07,9321.24
2013-10-08,9328.41
2013-10-09,9323.65
2013-10-10,9328.94
2013-10-11,9338.63
2013-10-12,9356.39
2013-10-13,9345.91
2013-10-14,9374.38
2013-10-15,9372.31
2013-10-16,9385.9
2013-10-17,9373.16
2013-10-18,9374.09
2013-10-19,9393.73
2013-10-20,9389.72
2013-10-21,9396.85
2013-10-22,9398.24
2013-10-23,9402.03
2013-10-24,9414.02
2013-10-25,9415.34
2013-10-26,9414.47
2013-10-27,9414.26
2013-10-28,9385.91
2013-10-29,9531.24
2013-10-30,9510.53
2013-10-31,9504.77
2013-11-01,9493.71
2013-11-02,9497.55
2013-11-03,9508.84
2013-11-04,9510.98
2013-11-05,9510.73
2013-11-06,9510.29
2013-11-07,9519.48
2013-11-08,9471.83
2013-11-09,9633.94
2013-11-10,9629.32
2013-11-11,9641.8
2013-11-12,9558.63
2013-11-13,9608.53
2013-11-14,9557.27
2013-11-15,9590.68
2013-11-16,9591.23
2013-11-17,9602.65
2013-11-18,9694.2
2013-11-19,9699.44
2013-11-20,9690.89
2013-11-21,9670.32
2013-11-22,9684.86
2013-11-23,9691.97
2013-11-24,9694.33
2013-11-25,9713.79
2013-11-26,9716.11
2013-11-27,10306.95
2013-11-28,10295.25
2013-11-29,10270.78
2013-11-30,10190.87
2013-12-01,10232.66
2013-12-02,10187.52
2013-12-03,10134.85
2013-12-04,10132.14
2013-12-05,10153.08
2013-12-06,10158.32
2013-12-07,10130.51
2013-12-08,10133.23
2013-12-09,10091.15
2013-12-10,10085.61
2013-12-11,9784.65
2013-12-12,9877.71
2013-12-13,9856.77
2013-12-14,9845.19
2013-12-15,9862.67
2013-12-16,9608.19
2013-12-17,9643.65
2013-12-18,9632.16
2013-12-19,9634.16
2013-12-20,9627.93
2013-12-21,9623.72
2013-12-22,9630.48
2013-12-23,9641.28
2013-12-24,9646.14
2013-12-25,9648.2
2013-12-26,9643.15
2013-12-27,9639.5
2013-12-28,9638
2013-12-29,9640.48
2013-12-30,9628.12
2013-12-31,9621.2
2014-01-01,9630.66
2014-01-02,9673.9
2014-01-03,9673.14
2014-01-04,9676.27
2014-01-05,9696.68
